Organisation name,Logo
Sugar Labs,https://www.sugarlabs.org/assets/Icons/logo.svg
Project Tech4Dev,https://projecttech4dev.org/wp-content/uploads/2024/05/13b5fab9b3d478788afed54141951357.png
The MIfos Initiative,https://mifos.wpengine.com/wp-content/uploads/2013/11/mifos_color_updated-300x118.jpg
MOSIP,https://www.mosip.io/images/mosipn-logo.png
Medic Mobile,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvzJwUQhkHX2cRqj0HzMveeGWSjuYkI7Efmg&s
Avanti fellows,https://www.sessions.avantifellows.org/_next/image?url=https%3A%2F%2Fcdn.avantifellows.org%2Faf_logos%2Favanti_logo_black_text.webp&w=3840&q=75
Finternetlabs,https://finternetlab.io/wp-content/uploads/2025/11/fnet-logo-black-768x195.png
NSUT X SEETA X AIC,https://upload.wikimedia.org/wikipedia/en/e/e9/Netaji_Subhas_University_of_Technology.svg
The Apprentice Project,https://static.wixstatic.com/media/e3c62f_dddf64ce93274731b5a2dd4cb5e40d01~mv2.png
Piramal Swasthya Management and research Institute,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Official_logo_of_Piramal_Enterprises_and_Group.svg/1280px-Official_logo_of_Piramal_Enterprises_and_Group.svg.png
IDinsight,https://www.idinsight.org/wp-content/themes/idi/assets/img/default-share-image.png
CHAOSS Africa,https://chaoss.community/wp-content/uploads/2020/09/Chaoss_Logo_Pantone1-1024x277.jpg
planetRead,https://www.planetread.org/images/logo.png
tekdi,https://www.tekdi.net/images/Logo/tekdi-logo.png
coss,https://coss.org.in/images/2024/09/25/group-3.png
